student_id,profile,weak_topic,level,recommended_course
STU_0001,Student is interested in Python. Completed course on Machine Learning with score 55%. Current level is Beginner. Needs improvement in Computer Vision.,Computer Vision,Beginner,Cloud Engineering with Google Cloud
STU_0002,Student is interested in Python. Completed course on SQL with score 77%. Current level is Intermediate. Needs improvement in Python.,Python,Intermediate,Age of Cathedrals
STU_0003,Student is interested in Machine Learning. Completed course on Python with score 54%. Current level is Advanced. Needs improvement in NLP.,NLP,Advanced,Music Production
STU_0004,Student is interested in Machine Learning. Completed course on SQL with score 85%. Current level is Advanced. Needs improvement in NLP.,NLP,Advanced,Security in Google Cloud Platform
STU_0005,Student is interested in SQL. Completed course on Web Development with score 68%. Current level is Advanced. Needs improvement in NLP.,NLP,Advanced,Essentials of Corporate Finance
STU_0006,Student is interested in Machine Learning. Completed course on Data Science with score 61%. Current level is Intermediate. Needs improvement in Web Development.,Web Development,Intermediate,Content Strategy for Professionals
STU_0007,Student is interested in NLP. Completed course on Cloud with score 45%. Current level is Intermediate. Needs improvement in Python.,Python,Intermediate,Brand Management Aligning Business Brand and Behaviour
STU_0008,Student is interested in Cloud. Completed course on Cloud with score 91%. Current level is Beginner. Needs improvement in Computer Vision.,Computer Vision,Beginner,Stanfords Short Course on Breastfeeding
STU_0009,Student is interested in Cybersecurity. Completed course on SQL with score 64%. Current level is Beginner. Needs improvement in Python.,Python,Beginner,Machine Learning for All
STU_0010,Student is interested in Computer Vision. Completed course on Cloud with score 85%. Current level is Beginner. Needs improvement in NLP.,NLP,Beginner,Anatomy of the Chest Abdomen and Pelvis
STU_0011,Student is interested in NLP. Completed course on Computer Vision with score 94%. Current level is Beginner. Needs improvement in Python.,Python,Beginner,    
STU_0012,Student is interested in Python. Completed course on Web Development with score 69%. Current level is Advanced. Needs improvement in Computer Vision.,Computer Vision,Advanced,Vital Signs Understanding What the Body Is Telling Us
STU_0013,Student is interested in Cloud. Completed course on Data Science with score 62%. Current level is Beginner. Needs improvement in Cloud.,Cloud,Beginner,Quantitative Methods
STU_0014,Student is interested in Computer Vision. Completed course on Python with score 74%. Current level is Advanced. Needs improvement in Data Science.,Data Science,Advanced,El Abogado del Futuro Legaltech y la Transformacin Digital del Derecho
STU_0015,Student is interested in Data Science. Completed course on Cybersecurity with score 57%. Current level is Advanced. Needs improvement in Web Development.,Web Development,Advanced,Russian for beginners 1   A1
STU_0016,Student is interested in SQL. Completed course on NLP with score 93%. Current level is Beginner. Needs improvement in Cloud.,Cloud,Beginner,Discrete Optimization
