profile,level,label
I am a complete beginner with zero coding experience.,Beginner,0
I just started learning programming. No prior knowledge.,Beginner,0
New to tech. Want to learn Python from scratch.,Beginner,0
Student with no IT background. Starting from basics.,Beginner,0
I know nothing about coding. Complete fresher.,Beginner,0
Just finished high school. Want to start data science.,Beginner,0
No experience in programming. Learning for first time.,Beginner,0
Absolute beginner. Never wrote a single line of code.,Beginner,0
I completed SQL basics with 55% score. Level Beginner.,Beginner,0
I know basic Excel. Want to learn data analysis.,Beginner,0
Just started Python tutorial. Score 40%. Beginner level.,Beginner,0
First time learning any programming language.,Beginner,0
I have basic computer knowledge. Want to learn coding.,Beginner,0
Fresher with no technical skills. Starting from zero.,Beginner,0
I watched some YouTube videos on Python. Total beginner.,Beginner,0
I know Python and basics of Machine Learning. Want to go deeper.,Intermediate,1
I completed Python course with 75% score. Now learning ML.,Intermediate,1
I have 1 year experience in web development. Learning cloud now.,Intermediate,1
I know SQL and basic data analysis. Want to learn visualization.,Intermediate,1
Completed data science basics. Now exploring NLP concepts.,Intermediate,1
I know Python well. Struggling with deep learning concepts.,Intermediate,1
I have intermediate Python skills. Learning data science now.,Intermediate,1
Completed ML basics with 80% score. Want to learn computer vision.,Intermediate,1
I know HTML CSS JavaScript. Now learning backend development.,Intermediate,1
2 years experience in programming. Learning machine learning.,Intermediate,1
I completed statistics course. Now learning data science.,Intermediate,1
Know basics of cloud. Want to get AWS certification.,Intermediate,1
I finished Python and SQL. Now learning data engineering.,Intermediate,1
Intermediate programmer. Working on NLP side projects.,Intermediate,1
I know ML theory well but struggle with implementation.,Intermediate,1
PhD student expert in ML and Computer Vision. Researching NLP.,Advanced,2
I have 5 years experience in software engineering. Learning cloud architecture.,Advanced,2
Senior data scientist. Expert in deep learning and NLP transformers.,Advanced,2
I built multiple ML models in production. Now learning reinforcement learning.,Advanced,2
Expert in Python and TensorFlow. Researching generative AI.,Advanced,2
10 years software experience. Leading AI research team.,Advanced,2
Published ML research papers. Expert in computer vision.,Advanced,2
I have advanced knowledge in deep learning. Exploring LLMs.,Advanced,2
Senior engineer with expertise in distributed systems and cloud.,Advanced,2
Expert data scientist with 7 years experience. Learning MLOps.,Advanced,2
Advanced ML practitioner. Building transformer models from scratch.,Advanced,2
I completed all deeplearning.ai courses with 95%+ scores.,Advanced,2
Expert in NLP. Building production grade chatbots.,Advanced,2
Advanced knowledge in statistics and machine learning algorithms.,Advanced,2
Senior researcher specializing in reinforcement learning.,Advanced,2
